year,stateProvince,decimalLatitude,decimalLongitude
1955,Tasmania,-42.1984374,145.1686261
1956,Tasmania,-54.4970197,158.9394842
1957,Tasmania,-43,147.316667
1959,Tasmania,-41.05,146.8
1959,Tasmania,-54.4970197,158.9394842
1959,Tasmania,-54.4970197,158.9394842
1959,Tasmania,-54.4970197,158.9394842
1959,Tasmania,-54.4970197,158.9394842
1959,Tasmania,-54.4970197,158.9394842
1959,Tasmania,-54.4970197,158.9394842
1959,Tasmania,-54.4970197,158.9394842
1959,Tasmania,-54.4970197,158.9394842
1959,Tasmania,-54.4970197,158.9394842
1959,Tasmania,-54.4970197,158.9394842
1960,Tasmania,-54.4970197,158.9394842
1960,Tasmania,-54.4970197,158.9394842
1960,Tasmania,-42.983333,147.333333
1960,Tasmania,-42.983333,147.333333
1963,Tasmania,-42.5489709,147.9122048
1964,Tasmania,-41.8831292,148.3038555
1964,Tasmania,-41.8831292,148.3038555
1964,Tasmania,-41.0842498,146.751087
1964,Tasmania,-40.6806502,145.0486035
1964,Tasmania,-41.9301025,145.1725106
1964,Tasmania,-43.3192594,147.340282
1964,Tasmania,-43.283333,147.166667
1964,Tasmania,-41.166667,146.333333
1964,Tasmania,-41.166667,146.333333
1965,Tasmania,-54.548688,158.8511546
1965,Tasmania,-54.5689655,158.9239315
1965,Tasmania,-54.548688,158.8511546
1965,Tasmania,-42.666479,148.014535
1965,Tasmania,-42.702213,147.944167
1965,Tasmania,-42.656684,148.01604
1965,Tasmania,-42.589395,148.047553
1965,Tasmania,-42.600424,147.938837
1965,Tasmania,-42.730811,148.012103
1965,Tasmania,-42.541537,147.958855
1965,Tasmania,-42.549877,147.93686
1965,Tasmania,-42.732378,147.933926
1965,Tasmania,-42.593158,147.931855
1965,Tasmania,-42.525124,147.993332
1965,Tasmania,-42.566575,148.074223
1965,Tasmania,-42.582216,147.91572
1965,Tasmania,-42.566535,147.9077
1965,Tasmania,-42.605317,148.043969
1965,Tasmania,-42.571974,148.064144
1965,Tasmania,-42.62861,147.938027
1965,Tasmania,-42.520097,147.971942
1965,Tasmania,-42.705384,148.027772
1965,Tasmania,-42.612006,148.037799
1965,Tasmania,-42.714138,148.021676
1965,Tasmania,-42.613677,147.944104
1965,Tasmania,-42.670153,148.02331
1965,Tasmania,-42.588827,147.919625
1965,Tasmania,-42.695644,147.947889
1965,Tasmania,-42.663798,148.00659
1966,Tasmania,-42.8075838,147.8938763
1966,Tasmania,-54.5333,159.033
1970,Tasmania,-43.2970367,147.2847264
1970,Tasmania,-43.2970367,147.2847264
1970,Tasmania,-42.5939711,147.9285943
1970,Tasmania,-42.5939711,147.9285943
1972,Tasmania,-43.3670363,147.3800042
1974,Tasmania,-39.4986795,147.3343889
1976,Tasmania,-41.931667,145.172222
1977,Tasmania,-54.4914,158.9386
1977,Tasmania,-54.4992,158.9414
1977,Tasmania,-54.4992,158.9414
1977,Tasmania,-54.5014,158.9394
1977,Tasmania,-54.4986,158.96
1977,Tasmania,-54.4986,158.96
1977,Tasmania,-54.4986,158.96
1977,Tasmania,-54.4986,158.96
1977,Tasmania,-54.4986,158.96
1978,Tasmania,-54.5,158.9442
1978,Tasmania,-54.6306,158.8978
1978,Tasmania,-54.7569,158.7917
1978,Tasmania,-43.1592592,147.2386137
1978,Tasmania,-39.9614557,147.8557772
1979,Tasmania,-41.808992,145.0266776
1980,Tasmania,-43,147.316667
1980,Tasmania,-43.00406,147.32897
1980,Tasmania,-42.583333,147.916667
1980,Tasmania,-42.580808,147.913044
1980,Tasmania,-43.14847,147.85297
1980,Tasmania,-40.95,144.616667
1980,Tasmania,-40.783333,145.266667
1981,Tasmania,-43.05,147.333333
1981,Tasmania,-43.05,147.333333
1981,Tasmania,-43.305566,145.966284
1981,Tasmania,-42.648511,146.281385
1981,Tasmania,-43.328112,145.970219
1981,Tasmania,-43.328112,145.970219
1981,Tasmania,-43.328517,145.991403
1981,Tasmania,-43.548514,146.031404
1981,Tasmania,-43.868509,146.9714
1981,Tasmania,-43.618508,146.801391
1981,Tasmania,-43.868509,146.9714
1981,Tasmania,-43.266045,145.92814
1981,Tasmania,-43.328517,145.991403
1981,Tasmania,-43.266045,145.92814
1982,Tasmania,-42.1,148.333333
1982,Tasmania,-42.1,148.333333
1982,Tasmania,-42.1,148.333333
1982,Tasmania,-42.1036863,148.3313586
1982,Tasmania,-43.216667,147.983333
1982,Tasmania,-43.2050857,147.9863816
1983,Tasmania,-43.283333,147.183333
1983,Tasmania,-40.8473701,147.6938173
1984,Tasmania,-42.6118782,145.2819478
1984,Tasmania,-40.766667,145.3
1985,Tasmania,-43.066667,147.35
1986,Tasmania,-43.3192594,147.340282
1986,Tasmania,-43.183333,147.85
1986,Tasmania,-43.016667,147.933333
1986,Tasmania,-43.283333,147.166667
1986,Tasmania,-43.0674257,145.6807193
1986,Tasmania,-43.060363,147.9466578
1986,Tasmania,-42.219775,148.34525
1986,Tasmania,-41.868189,148.306456
1986,Tasmania,-42.331717,148.327288
1986,Tasmania,-43.413328,147.097236
1986,Tasmania,-43.127302,147.963717
