year,stateProvince,decimalLatitude,decimalLongitude,,,,,
1955,Tasmania,-40.766,145.3,,,,1955,3
1955,Tasmania,-41.066,145.933,,,,1956,0
1955,Tasmania,-40.75,144.7,,,,1957,1
1957,Tasmania,-54.5,158.93,,,,1958,1
1958,Tasmania,-40.2168942,148.2358849,,,,1959,0
1961,Tasmania,-43.0036185,147.3230416,,,,1960,0
1962,Tasmania,-54.6825,158.9133,,,,1961,1
1962,Tasmania,-54.5,158.92,,,,1962,3
1962,Tasmania,-43.3119208,147.2993471,,,,1963,7
1963,Tasmania,-54.5,158.93,,,,1964,15
1963,Tasmania,-54.5,158.93,,,,1965,7
1963,Tasmania,-41.0847,146.7454,,,,1966,0
1963,Tasmania,-42.808612,147.911029,,,,1967,4
1963,Tasmania,-42.808612,147.911029,,,,1968,14
1963,Tasmania,-42.808612,147.911029,,,,1969,0
1963,Tasmania,-41.1659,146.3652,,,,1970,10
1964,Tasmania,-42.8886136,147.7910322,,,,1971,21
1964,Tasmania,-43.3119208,147.2993471,,,,1972,30
1964,Tasmania,-42.8942,147.5018,,,,1973,17
1964,Tasmania,-42.8942,147.5018,,,,1974,42
1964,Tasmania,-43.3119208,147.2993471,,,,1975,3
1964,Tasmania,-42.88,147.86,,,,1976,2
1964,Tasmania,-41.0847,146.7454,,,,1977,11
1964,Tasmania,-43.3119208,147.2993471,,,,1978,9
1964,Tasmania,-43.3119208,147.2993471,,,,1979,19
1964,Tasmania,-43.3119208,147.2993471,,,,1980,42
1964,Tasmania,-42.8942,147.5018,,,,1981,54
1964,Tasmania,-42.8942,147.5018,,,,1982,9
1964,Tasmania,-43.3119208,147.2993471,,,,1983,16
1964,Tasmania,-43.3119208,147.2993471,,,,1984,7
1964,Tasmania,-43.3119208,147.2993471,,,,1985,7
1965,Tasmania,-41.08541,146.7444,,,,1986,8
1965,Tasmania,-42.889,147.814,,,,1987,3
1965,Tasmania,-42.889,147.814,,,,1988,2
1965,Tasmania,-43.1886203,147.2610456,,,,1989,2
1965,Tasmania,-42.8986177,147.3310397,,,,1990,14
1965,Tasmania,-42.8942,147.5018,,,,1991,7
1965,Tasmania,-42.8942,147.5018,,,,1992,841
1967,Tasmania,-43.46,147.15,,,,1993,489
1967,Tasmania,-43.143,147.963,,,,1994,704
1967,Tasmania,-43.143,147.963,,,,1995,260
1967,Tasmania,-43.1474148,147.8459355,,,,1996,0
1968,Tasmania,-40.77,145.28,,,,1997,21
1968,Tasmania,-41.87,148.3,,,,1998,85
1968,Tasmania,-39.89,148.99,,,,1999,142
1968,Tasmania,-43.46,147.15,,,,2000,1910
1968,Tasmania,-40.16,147.58,,,,2001,1555
1968,Tasmania,-40.53,147.79,,,,2002,40511
1968,Tasmania,-43.99,147.06,,,,2003,0
1968,Tasmania,-39.81,148.51,,,,2004,488
1968,Tasmania,-40.2285942,148.240985,,,,2005,121
1968,Tasmania,-40.217,148.249,,,,2006,920
1968,Tasmania,-40.71,148.67,,,,2007,570
1968,Tasmania,-42.5886091,148.0810227,,,,2008,1406
1968,Tasmania,-43.46,147.15,,,,2009,2660
1968,Tasmania,-42.5886091,148.0810227,,,,2010,3116
1970,Tasmania,-43.4,147.116,,,,2011,360
1970,Tasmania,-43.1408137,147.9629335,,,,2012,2
1970,Tasmania,-43.0286131,147.9510319,,,,2013,4
1970,Tasmania,-40.9818,145.7334,,,,2014,3
1970,Tasmania,-42.9032,147.6796,,,,2015,4
1970,Tasmania,-40.85,149.49,,,,2016,2
1970,Tasmania,-42.8942,147.5018,,,,2017,4
1970,Tasmania,-40.9818,145.7334,,,,2018,8
1970,Tasmania,-43.01,147.92,,,,2019,21
1970,Tasmania,-40.9265202,145.618135,,,,2020,10
1971,Tasmania,-42.866,147.616,,,,2021,48
1971,Tasmania,-43.066,147.333,,,,2022,19
1971,Tasmania,-41.154,146.474,,,,2023,38
1971,Tasmania,-43.0500186,147.345142,,,,2024,39
1971,Tasmania,-40.7431,147.9387,,,,2025,7
1971,Tasmania,-40.52,144.71,,,,,
1971,Tasmania,-41.105,148.277,,,,,
1971,Tasmania,-41.159,146.233,,,,,
1971,Tasmania,-43.0767,147.3579,,,,,
1971,Tasmania,-43.0786187,147.3510423,,,,,
1971,Tasmania,-43.0500186,147.345142,,,,,
1971,Tasmania,-40.7431,147.9387,,,,,
1971,Tasmania,-42.8942,147.5018,,,,,
1971,Tasmania,-43.1474148,147.8459355,,,,,
1971,Tasmania,-43.0786187,147.3510423,,,,,
1971,Tasmania,-43.0500186,147.345142,,,,,
1971,Tasmania,-42.88,147.963,,,,,
1971,Tasmania,-43.178615,147.851036,,,,,
1971,Tasmania,-39.731,147.958,,,,,
1971,Tasmania,-43.1474148,147.8459355,,,,,
1971,Tasmania,-43.0786187,147.3510423,,,,,
1972,Tasmania,-43.35,147.36,,,,,
1972,Tasmania,-43.25,147.283,,,,,
1972,Tasmania,-43.283,147.283,,,,,
1972,Tasmania,-43.316,147.216,,,,,
1972,Tasmania,-43.333,147.366,,,,,
1972,Tasmania,-43.066,147.333,,,,,
1972,Tasmania,-43.316,147.216,,,,,
1972,Tasmania,-43.066,147.333,,,,,
1972,Tasmania,-43.366,147.316,,,,,
1972,Tasmania,-43.43,147.15,,,,,
1972,Tasmania,-43.32,147.22,,,,,
1972,Tasmania,-43.32,147.28,,,,,
1972,Tasmania,-43.38,147.28,,,,,
1972,Tasmania,-43.38,147.28,,,,,
1972,Tasmania,-40.28,148.12,,,,,
1972,Tasmania,-40.28,148.12,,,,,
1972,Tasmania,-43.38,147.28,,,,,
1972,Tasmania,-43.43,147.15,,,,,
1972,Tasmania,-40.28,148.12,,,,,
1972,Tasmania,-40.28,148.12,,,,,
1972,Tasmania,-43.32,147.22,,,,,
1972,Tasmania,-40.28,148.12,,,,,
1972,Tasmania,-40.28,148.12,,,,,
1972,Tasmania,-43.0786187,147.3510423,,,,,
1972,Tasmania,-42.939,147.357,,,,,
1972,Tasmania,-43.15,147.868,,,,,
1972,Tasmania,-43.0786187,147.3510423,,,,,
1972,Tasmania,-43.0786187,147.3510423,,,,,
1972,Tasmania,-43.0786187,147.3510423,,,,,
1972,Tasmania,-42.38,145.49,,,,,
1973,Tasmania,-43.066,147.333,,,,,
1973,Tasmania,-39.5417,148.858,,,,,
1973,Tasmania,-39.2567,146.53,,,,,
1973,Tasmania,-39.5,148.038,,,,,
1973,Tasmania,-39.5,148.038,,,,,
1973,Tasmania,-39.755,148.9,,,,,
1973,Tasmania,-39.73,148.792,,,,,
1973,Tasmania,-42.5967,147.9049,,,,,
1973,Tasmania,-40.9186281,144.7110482,,,,,
1973,Tasmania,-43.0786187,147.3510423,,,,,
1973,Tasmania,-42.5786109,147.8710259,,,,,
1973,Tasmania,-42.5967,147.9049,,,,,
1973,Tasmania,-42.8942,147.5018,,,,,
1973,Tasmania,-42.299,148.279,,,,,
1973,Tasmania,-43.1786204,147.2410458,,,,,
1973,Tasmania,-40.9186281,144.7110482,,,,,
1973,Tasmania,-43.0036185,147.3230416,,,,,
1974,Tasmania,-40.9,144.68,,,,,
1974,Tasmania,-42.583,147.9,,,,,
1974,Tasmania,-39.4486,147.29194,,,,,
1974,Tasmania,-43.066,147.333,,,,,
1974,Tasmania,-43.066,147.333,,,,,
1974,Tasmania,-43.066,147.333,,,,,
1974,Tasmania,-42.866,147.616,,,,,
1974,Tasmania,-43.066,147.333,,,,,
1974,Tasmania,-42.883,147.566,,,,,
1974,Tasmania,-42.866,147.616,,,,,
1974,Tasmania,-42.866,147.616,,,,,
1974,Tasmania,-40.75,144.7,,,,,
1974,Tasmania,-39.45,147.28,,,,,
1974,Tasmania,-39.48,147.3,,,,,
1974,Tasmania,-39.48,147.3,,,,,
1974,Tasmania,-39.48,147.3,,,,,
1974,Tasmania,-39.48,147.3,,,,,
1974,Tasmania,-39.48,147.35,,,,,
1974,Tasmania,-39.43,147.28,,,,,
1974,Tasmania,-39.48,147.3,,,,,
1974,Tasmania,-39.48,147.3,,,,,
1974,Tasmania,-39.48,147.3,,,,,
1974,Tasmania,-39.48,147.3,,,,,
1974,Tasmania,-39.45,147.28,,,,,
1974,Tasmania,-39.48,147.35,,,,,
1974,Tasmania,-39.48,147.3,,,,,
1974,Tasmania,-39.48,147.35,,,,,
1974,Tasmania,-39.48,147.3,,,,,
1974,Tasmania,-39.48,147.3,,,,,
1974,Tasmania,-39.48,147.35,,,,,
1974,Tasmania,-39.48,147.35,,,,,
1974,Tasmania,-39.45,147.28,,,,,
1974,Tasmania,-43.0786187,147.3510423,,,,,
1974,Tasmania,-43.0786187,147.3510423,,,,,
1974,Tasmania,-40.248,147.863,,,,,
1974,Tasmania,-40.9186281,144.7110482,,,,,
1974,Tasmania,-40.3381961,148.082089,,,,,
1974,Tasmania,-43.5086252,146.9610558,,,,,
1974,Tasmania,-43.0786187,147.3510423,,,,,
1974,Tasmania,-43.2086194,147.3710442,,,,,
1974,Tasmania,-43.018613,147.9510317,,,,,
1974,Tasmania,-43.0786187,147.3510423,,,,,
1975,Tasmania,-40.75,144.7,,,,,
1975,Tasmania,-40.75,144.7,,,,,
1975,Tasmania,-40.89,144.69,,,,,
1976,Tasmania,-41.183,146.35,,,,,
1976,Tasmania,-42.5967,147.9049,,,,,
1977,Tasmania,-40.716,145.25,,,,,
1977,Tasmania,-43.4,147.016,,,,,
1977,Tasmania,-39.833,144,,,,,
1977,Tasmania,-43.4,147.016,,,,,
1977,Tasmania,-40.93332,148.33332,,,,,
1977,Tasmania,-40.2275,148.0296,,,,,
1977,Tasmania,-42.5886091,148.0810227,,,,,
1977,Tasmania,-40.2275,148.0296,,,,,
1977,Tasmania,-40.2275,148.0296,,,,,
1977,Tasmania,-40.2275,148.0296,,,,,
1977,Tasmania,-41.16,146.337,,,,,
1978,Tasmania,-41.08,146.73,,,,,
1978,Tasmania,-43,147.33,,,,,
1978,Tasmania,-43,147.33,,,,,
1978,Tasmania,-41.16,146.337,,,,,
1978,Tasmania,-43.14862,147.2610449,,,,,
1978,Tasmania,-42.8286153,147.551035,,,,,
1978,Tasmania,-41.209,148.289,,,,,
1978,Tasmania,-41.209,148.289,,,,,
1978,Tasmania,-42.8942,147.5018,,,,,
1979,Tasmania,-39.4733,148.697,,,,,
1979,Tasmania,-39.5717,148.067,,,,,
1979,Tasmania,-41,148.35,,,,,
1979,Tasmania,-41,148.35,,,,,
1979,Tasmania,-41.05,146.73333,,,,,
1979,Tasmania,-41.23333,148.3,,,,,
1979,Tasmania,-41.08332,145.94999,,,,,
1979,Tasmania,-41,148.35,,,,,
1979,Tasmania,-41,148.35,,,,,
1979,Tasmania,-41,148.35,,,,,
1979,Tasmania,-41.23333,148.3,,,,,
1979,Tasmania,-41,148.35,,,,,
1979,Tasmania,-41,148.35,,,,,
1979,Tasmania,-43.018613,147.9510317,,,,,
1979,Tasmania,-40.9186281,144.7110482,,,,,
1979,Tasmania,-42.5967,147.9049,,,,,
1979,Tasmania,-40.9419204,145.6077354,,,,,
1979,Tasmania,-42.8942,147.5018,,,,,
1979,Tasmania,-43.0036185,147.3230416,,,,,
1980,Tasmania,-40.0667,143.367,,,,,
1980,Tasmania,-40.6717,145.25,,,,,
1980,Tasmania,-39.92,144,,,,,
1980,Tasmania,-39.5467,144.267,,,,,
1980,Tasmania,-39.57,143.1,,,,,
1980,Tasmania,-40.07,144.05,,,,,
1980,Tasmania,-40.63,145.38,,,,,
1980,Tasmania,-39.92,144.13,,,,,
1980,Tasmania,-40.1,143.3,,,,,
1980,Tasmania,-39.33,143.57,,,,,
1980,Tasmania,-40.3967,145.533,,,,,
1980,Tasmania,-39.93,143.85,,,,,
1980,Tasmania,-39.32,143.63,,,,,
1980,Tasmania,-39.28,143.65,,,,,
1980,Tasmania,-39.42,143.38,,,,,
1980,Tasmania,-40.3967,145.533,,,,,
1980,Tasmania,-39.48,143.23,,,,,
1980,Tasmania,-39.33,143.57,,,,,
1980,Tasmania,-40.3967,145.533,,,,,
1980,Tasmania,-40.63,145.38,,,,,
1980,Tasmania,-39.58,143.95,,,,,
1980,Tasmania,-39.92,144.13,,,,,
1980,Tasmania,-40.63,145.38,,,,,
1980,Tasmania,-40.515,144.933,,,,,
