sea urchin,year_count,count,,kelp,year_count,count
,1955,3,,,1955,1
,1956,0,,,1956,1
,1957,1,,,1957,1
,1958,1,,,1958,0
,1959,0,,,1959,11
,1960,0,,,1960,4
,1961,1,,,1961,0
,1962,3,,,1962,0
,1963,7,,,1963,1
,1964,15,,,1964,9
,1965,7,,,1965,29
,1966,0,,,1966,2
,1967,4,,,1967,0
,1968,14,,,1968,0
,1969,0,,,1969,0
,1970,10,,,1970,4
,1971,21,,,1971,0
,1972,30,,,1972,1
,1973,17,,,1973,0
,1974,42,,,1974,1
,1975,3,,,1975,0
,1976,2,,,1976,1
,1977,11,,,1977,9
,1978,9,,,1978,5
,1979,19,,,1979,1
,1980,42,,,1980,7
,1981,54,,,1981,14
,1982,9,,,1982,6
,1983,16,,,1983,2
,1984,7,,,1984,2
,1985,7,,,1985,1
,1986,8,,,1986,168
,1987,3,,,1987,2
,1988,2,,,1988,87
,1989,2,,,1989,0
,1990,14,,,1990,1
,1991,7,,,1991,0
,1992,841,,,1992,480
,1993,489,,,1993,303
,1994,704,,,1994,532
,1995,260,,,1995,120
,1996,0,,,1996,0
,1997,21,,,1997,1
,1998,85,,,1998,0
,1999,142,,,1999,354
,2000,1910,,,2000,223
,2001,1555,,,2001,1105
,2002,40511,,,2002,24876
,2003,0,,,2003,0
,2004,488,,,2004,0
,2005,121,,,2005,0
,2006,920,,,2006,740
,2007,570,,,2007,511
,2008,1406,,,2008,819
,2009,2660,,,2009,1912
,2010,3116,,,2010,2332
,2011,360,,,2011,491
,2012,2,,,2012,90
,2013,4,,,2013,2
,2014,3,,,2014,0
,2015,4,,,2015,5
,2016,2,,,2016,2
,2017,4,,,2017,1
,2018,8,,,2018,3
,2019,21,,,2019,386
,2020,10,,,2020,9360
,2021,48,,,2021,18520
,2022,19,,,2022,14
,2023,38,,,2023,257
,2024,39,,,2024,63
,2025,7,,,2025,28
